Kempe;Aue;ABW;0,5;59;3,3
Kerschbaumer;Ingolstadt;MIT;0,7;134;3,2
Kessler;Köln;TOR;0,3;;
Kilic;Heidenheim;MIT;0,1;;
Kinsombi;Kiel;ABW;0,6;104;3,2
Kirsch;Fürth;MIT;0,2;0;4
Kister;Sandhausen;ABW;0,6;58;3,3
Kittel;Ingolstadt;MIT;0,9;167;3,3
Klement;Paderborn;MIT;0,5;;
Klewin;Bielefeld;TOR;0,3;;
Klingmann;Sandhausen;ABW;0,6;98;3
Klos;Bielefeld;STU;0,8;115;3,4
Knaller;Ingolstadt;TOR;0,5;2;3,5
Knipping;Sandhausen;ABW;0,3;98;3,3
Knoll;St. Pauli;ABW;0,9;183;2,9
Knost;HSV;ABW;0,1;;
Köbbing;Heidenheim;TOR;0,1;0;
Koglin;St. Pauli;ABW;0,2;8;3
Koné;Dresden;STU;0,6;72;3
Königsmann;Fürth;TOR;0,1;0;
Kopp;Regensburg;ABW;0,2;0;
Kostic;HSV;MIT;1;;
Koziello;Köln;MIT;0,6;;
Kraft;Bochum;TOR;0,1;0;
Krauße;Paderborn;MIT;0,5;;
Kreuzer;Dresden;ABW;0,6;74;3,3
Kronholm;Kiel;TOR;0,6;166;2,9
Kroos;Union;MIT;0,7;51;3,6
Kruse;Bochum;STU;0,8;121;3,3
Kulovits;Sandhausen;MIT;0,5;28;3,6
Kurzweg;Union;ABW;0,4;20;3,4
Kusej;Dresden;STU;0,1;;
Kusic;Aue;ABW;0,3;;
Kutschke;Ingolstadt;STU;0,6;32;4
Kvesic;Aue;MIT;0,5;18;4
Kwarteng;HSV;MIT;0,1;;
Lacazette;Darmstadt;MIT;0,2;2;4
Lais;Regensburg;MIT;0,6;83;3,4
Lankford;Heidenheim;MIT;0,3;18;3,6
Laprevotte;Magdeburg;MIT;0,3;;
Lasogga;HSV;STU;0,8;;
Lee;Kiel;MIT;0,8;;
Lehmann;Köln;MIT;0,7;;
Leipertz;Ingolstadt;STU;0,7;44;3,7
Leitsch;Bochum;ABW;0,2;8;3,8
Lenz;Union;ABW;0,3;26;3,4
Lewerenz;Kiel;MIT;0,7;133;3,1
Lezcano;Ingolstadt;STU;0,7;48;3,7
Linsmayer;Sandhausen;MIT;0,7;110;3,2
Löder;Aue;MIT;0,1;;
Lohkemper;Magdeburg;STU;0,3;;
Lomb;Sandhausen;TOR;0,2;;
Losilla;Bochum;MIT;0,7;98;3,2
Löwe;Dresden;MIT;0,1;0;
Lucas Galvao;Ingolstadt;ABW;0,4;;
Maclaren;Darmstadt;STU;0,4;1;5
Magyar;Fürth;ABW;0,4;40;3,5
Maier;Bochum;MIT;0,7;;
Mainka;Heidenheim;ABW;0,2;;
Maloca;Fürth;ABW;0,5;60;3,7
Maloney;Union;ABW;0,1;2;3,5
Männel;Aue;TOR;0,7;157;3
Massimo;Bielefeld;MIT;0,3;13;3,5
Matip;Ingolstadt;ABW;0,7;76;3,5
McKinze Gaines II;Darmstadt;MIT;0,1;-3;4,3
Medojevic;Darmstadt;MIT;0,3;-7;4,3
Mees;Union;MIT;0,6;74;3,4
Meffert;Kiel;MIT;0,5;;
Mehlem;Darmstadt;MIT;0,5;38;3,7
Mesenhöler;Duisburg;TOR;0,2;59;3,1
Michel;Paderborn;STU;0,7;;
Mickel;HSV;TOR;0,2;;
Miyaichi;St. Pauli;MIT;0,3;0;
Mohr;Fürth;ABW;0,3;;
Möller Daehli;St. Pauli;MIT;0,6;50;3,4
Moritz;HSV;MIT;0,7;90;3,4
Mörschel;Kiel;MIT;0,3;;
Möschl;Dresden;MIT;0,4;21;3,5
Moser;Union;TOR;0,1;0;
Mühling;Kiel;MIT;0,6;109;3,2
Müller;Heidenheim;TOR;0,7;151;2,9
Müller;Dresden;ABW;0,5;39;3,6
Müller;Sandhausen;MIT;0,4;;
Müller;Magdeburg;ABW;0,4;;
Multhaup;Heidenheim;MIT;0,2;0;
Münzner;St. Pauli;MIT;0,1;;
Nachreiner;Regensburg;ABW;0,6;93;3,1
Nandzik;Regensburg;ABW;0,5;60;3,5
Narey;HSV;MIT;0,5;64;3,8
Nartey;Köln;MIT;0,2;;
Nauber;Duisburg;ABW;0,7;105;3,3
Nazarov;Aue;STU;0,5;45;3,7
Nehrig;St. Pauli;MIT;0,5;43;3,6
Neudecker;St. Pauli;MIT;0,5;62;3,4
Neumann;Duisburg;ABW;0,5;;
Neumann;Ingolstadt;ABW;0,2;0;4,3
Niemeyer;Magdeburg;ABW;0,5;;
Nietfeld;Regensburg;STU;0,5;47;3,8
Nikolaou;Dresden;MIT;0,4;;
Nöthe;Bielefeld;STU;0,3;1;
Nyland;Ingolstadt;TOR;0,6;126;3,2
Odabas;Regensburg;ABW;0,1;;
Oliveira Souza;Duisburg;MIT;0,6;115;3,2
Omladic;Fürth;MIT;0,6;16;3,5
Opoku;HSV;MIT;0,1;;
Ortega;Bielefeld;TOR;0,9;215;2,7
Osawe;Ingolstadt;STU;0,6;71;3,5
Osei Kwadwo;Magdeburg;MIT;0,3;7;3,9
Owusu;Bielefeld;STU;0,2;;
Özcan;Köln;MIT;0,7;;
Özkan;Bielefeld;ABW;0,2;3;3,5
Palionis;Regensburg;ABW;0,3;9;3,5
Pantovic;Bochum;STU;0,3;;
Papadopoulos;HSV;ABW;1;;
Paqarada;Sandhausen;ABW;0,7;92;3,5
Parensen;Union;ABW;0,4;34;3,2
Park;St. Pauli;ABW;0,4;32;3,6
Paulo Otavio;Ingolstadt;ABW;0,4;5;3,9
Peitz;Kiel;MIT;0,5;84;3
Pentke;Regensburg;TOR;0,6;133;2,9
Perthel;Bochum;ABW;0,4;0;
Pfeiffer;HSV;ABW;0,1;;
Platte;Darmstadt;STU;0,6;50;3,6
Pledl;Ingolstadt;MIT;0,7;94;3,4
Pollersbeck;HSV;TOR;0,7;;
Polter;Union;STU;0,8;121;3,2
Preißinger;Magdeburg;MIT;0,5;;
Prietl;Bielefeld;MIT;0,5;53;3,6
Prömel;Union;MIT;0,6;47;3,5
Pronichev;Aue;STU;0,3;;
Pusch;Heidenheim;MIT;0,5;30;3,5
Putaro;Bielefeld;STU;0,4;17;4
Quaschner;Bielefeld;STU;0,4;4;
Rapp;Aue;ABW;0,4;51;3,4
Ratajczak;Paderborn;TOR;0,3;;
Raum;Fürth;MIT;0,4;11;4,1
Redondo;Union;MIT;0,4;13;4,2
Reese;Fürth;STU;0,4;4;3,9
Regäsel;Duisburg;ABW;0,3;;
Reichel;Union;ABW;0,7;87;3,4
Reimann;Kiel;TOR;0,1;;
Reithmeir;Heidenheim;ABW;0,1;;
Riemann;Bochum;TOR;0,7;89;3,3
Riese;Aue;MIT;0,4;34;3,5
Rinderknecht;Ingolstadt;MIT;0,2;;
Risse;Köln;MIT;1;;
Ritter;Paderborn;MIT;0,5;0;
Rizzuto;Aue;MIT;0,5;44;3,6
Röcher;Ingolstadt;STU;0,4;;
Röser;Dresden;STU;0,6;71;3,6
Rossipal;Sandhausen;ABW;0,1;;
Rother;Magdeburg;MIT;0,5;;
Royo;Darmstadt;ABW;0,1;;
Ryerson;Union;ABW;0,4;;
Saglam;Bochum;MIT;0,3;0;4,3
Sakai;HSV;ABW;0,7;;
Salger;Bielefeld;ABW;0,5;64;3,2
Saller;Regensburg;ABW;0,4;34;3,8
Sam;Bochum;MIT;0,5;-6;4,1
Sauer;Fürth;ABW;0,4;-6;4
Schäfer;Magdeburg;ABW;0,4;;
Schaffran;Fürth;TOR;0,1;;
Schaub;Köln;MIT;0,8;;
Schindler;Kiel;MIT;0,8;169;3,1
Schindler;Paderborn;MIT;0,1;;
Schipplock;Bielefeld;STU;0,7;;
Schleusener;Sandhausen;STU;0,5;;
Schlosser;Aue;TOR;0,1;;
Schmeling;Duisburg;ABW;0,1;;
Schmidt;Kiel;ABW;0,7;125;3,1
Schmidt;Heidenheim;STU;0,4;;
Schmiedebach;Union;MIT;0,7;;
Schmitz;Köln;ABW;0,5;;
Schnatterer;Heidenheim;MIT;1;170;3,1
Schneider;St. Pauli;STU;0,2;21;3,7
Schnellhardt;Duisburg;MIT;0,5;67;3,5
Schönheim;Union;ABW;0,4;34;3,1
Schonlau;Paderborn;ABW;0,5;;
Schoppenhauer;St. Pauli;ABW;0,4;1;4
Schösswendter;Union;ABW;0,4;5;3
Schröck;Ingolstadt;MIT;0,5;36;3,7
Schubert;Dresden;TOR;0,4;42;2,9
Schuhen;Sandhausen;TOR;0,7;180;2,9
Schütz;Bielefeld;MIT;0,7;87;3,3
Schwede;Paderborn;MIT;0,5;;
Scott;Köln;TOR;0,1;;
Seegert;Sandhausen;ABW;0,3;27;3
Seidel;Magdeburg;TOR;0,2;;
Selkos;Paderborn;STU;0,1;;
Sen;Kiel;STU;0,2;1;
Seo;Duisburg;ABW;0,2;;
Serra;Kiel;STU;0,3;12;
Sessa;Heidenheim;ABW;0,2;2;3,8
Seufert;Bielefeld;MIT;0,4;35;3,6
Sicker;Kiel;ABW;0,2;9;2
Siedschlag;Kiel;MIT;0,3;4;
Sirigu;Darmstadt;MIT;0,4;18;3,8
Siya;Bielefeld;MIT;0,1;0;
Skarke;Heidenheim;MIT;0,5;20;3,6
Sobiech;Köln;ABW;0,8;128;2,9
Sobiech;Darmstadt;STU;0,5;11;4,1
Sobota;St. Pauli;MIT;0,7;89;3,3
Sontheimer;Fürth;MIT;0,4;7;3,9
Sörensen;Köln;ABW;0,7;;
Sörensen;Regensburg;ABW;0,4;35;3,5
Stark;Darmstadt;MIT;0,5;50;3,6
Staude;Bielefeld;MIT;0,4;33;3,8
Steininger;Fürth;MIT;0,3;26;4
Steinmann;HSV;MIT;0,3;;
Steurer;Heidenheim;ABW;0,2;-4;4,3
Stingl;Paderborn;ABW;0,1;;
Stolze;Regensburg;MIT;0,4;64;3,5
Stoppelkamp;Duisburg;MIT;0,7;139;3,3
Strauß;Heidenheim;ABW;0,5;23;3,7
Strauß;Aue;MIT;0,3;21;3,6
Stritzel;Darmstadt;TOR;0,1;0;4
Strohdiek;Paderborn;ABW;0,6;;
Sukuta-Pasu;Duisburg;STU;0,5;75;3,4
Sulu;Darmstadt;ABW;0,8;100;3,4
Sussek;Ingolstadt;MIT;0,1;;
Taffertshofer;Sandhausen;MIT;0,4;;
Tashchy;Duisburg;STU;0,6;106;3,5
Taz;Union;MIT;0,1;0;
Tekpetey;Paderborn;MIT;0,3;;
Terodde;Köln;STU;1;;
Tesche;Bochum;MIT;0,5;39;3,5
Testroet;Dresden;STU;0,5;11;3,5
Thalhammer;Regensburg;MIT;0,3;10;3,2
Thesker;Kiel;ABW;0,4;;
Theuerkauf;Heidenheim;MIT;0,6;57;3,4
Thiel;Heidenheim;MIT;0,7;97;3,3
Thomalla;Heidenheim;STU;0,5;28;3,6
Tietz;Paderborn;STU;0,3;2;
Tiffert;Aue;ABW;0,8;130;3,1
Torrejon;Union;ABW;0,6;63;3,4
Träsch;Ingolstadt;ABW;0,6;53;3,5
Trimmel;Union;ABW;0,7;109;3,3
Türpitz;Magdeburg;MIT;0,6;;
Ucar;Bielefeld;MIT;0,2;;
Vagnoman;HSV;ABW;0,1;;
van den Bergh;Kiel;ABW;0,5;75;3,2
van Drongelen;HSV;ABW;0,5;;
Vasiliadis;Paderborn;MIT;0,4;;
Verhoek;Duisburg;STU;0,6;88;3,4
Verlaat;Sandhausen;ABW;0,4;;
Voglsammer;Bielefeld;STU;0,9;147;3,3
Volkmer;Regensburg;ABW;0,2;;
Vollmann;Sandhausen;MIT;0,4;11;3,8
von Haacke;Darmstadt;MIT;0,3;-1;4,5
Vrenezi;Regensburg;MIT;0,3;21;3,6
Wahl;Kiel;ABW;0,5;68;3,5
Wahlqvist;Dresden;ABW;0,6;;
Wassey;Paderborn;MIT;0,5;;
Weidinger;Regensburg;TOR;0,1;0;
Weihrauch;Bielefeld;MIT;0,7;92;3,3
Weil;Magdeburg;ABW;0,5;;
Weilandt;Bochum;STU;0,5;34;3,6
Weiner;Kiel;TOR;0,1;;
Weis;Regensburg;TOR;0,3;10;3,6
Wiegel;Duisburg;ABW;0,4;26;3,3
Wiegers;Dresden;TOR;0,1;0;
Wimmer;Paderborn;MIT;0,3;;
Wintzheimer;HSV;STU;0,3;;
Wittek;Fürth;ABW;0,7;85;3,5
Wittek;Heidenheim;ABW;0,6;68;3,4
Wolze;Duisburg;ABW;0,8;172;3,1
Wooten;Sandhausen;STU;0,6;14;3,3
Wulle;Sandhausen;TOR;0,2;0;
Wurtz;Bochum;STU;0,4;-9;4,6
Wydra;Aue;ABW;0,6;82;3,3
Zander;St. Pauli;ABW;0,4;8;3,9
Zehir;St. Pauli;MIT;0,1;2;
Zejnullahu;Union;MIT;0,4;18;3,7
Zenga;Sandhausen;MIT;0,1;1;3,5
Zhirov;Sandhausen;ABW;0,1;;
Ziereis;St. Pauli;ABW;0,5;20;3,4
Zingerle;Paderborn;TOR;0,5;;
Zolinski;Paderborn;MIT;0,6;;
Zoller;Köln;STU;0,8;;
